Country	Clicks	Impressions	CTR	Position
India	2078	323428	0.64%	4.37
United States	40	24212	0.17%	12.09
Malaysia	16	1030	1.55%	22.64
South Africa	12	910	1.32%	7.9
Singapore	12	760	1.58%	31.14
United Kingdom	10	2651	0.38%	16.47
Australia	10	975	1.03%	15.14
Canada	9	2337	0.39%	11.21
Germany	7	702	1%	9.51
United Arab Emirates	6	912	0.66%	10.53
Saudi Arabia	6	589	1.02%	6.83
Philippines	4	1100	0.36%	9.16
Italy	4	501	0.80%	9.47
Kenya	4	447	0.89%	5.51
Oman	4	172	2.33%	4.12
Pakistan	3	1382	0.22%	6.58
Indonesia	3	805	0.37%	8.73
Nepal	3	705	0.43%	5.52
France	3	577	0.52%	10.35
Spain	3	545	0.55%	9.17
Sri Lanka	3	475	0.63%	6.01
Japan	3	333	0.90%	6.91
Egypt	3	321	0.93%	9.72
Fiji	3	131	2.29%	5.16
Brazil	2	1082	0.18%	9.47
Nigeria	2	626	0.32%	5.92
Bangladesh	2	433	0.46%	7.91
Turkey	2	412	0.49%	9.25
Thailand	2	364	0.55%	12.14
Colombia	2	350	0.57%	9.11
Netherlands	2	277	0.72%	7.73
Poland	2	273	0.73%	7.92
New Zealand	2	264	0.76%	10.07
Russia	2	180	1.11%	7.85
Hong Kong	2	169	1.18%	7.05
Tanzania	2	145	1.38%	5.15
Jamaica	2	144	1.39%	4.76
Zimbabwe	2	121	1.65%	4.78
Namibia	2	91	2.20%	5.43
Austria	2	67	2.99%	7.85
Latvia	2	44	4.55%	7.8
Mexico	1	857	0.12%	9.25
Vietnam	1	592	0.17%	9.77
China	1	268	0.37%	8.32
Qatar	1	258	0.39%	4.36
Cameroon	1	240	0.42%	5.37
Ethiopia	1	134	0.75%	6.41
Kuwait	1	132	0.76%	4.54
Zambia	1	128	0.78%	4.19
Myanmar (Burma)	1	126	0.79%	4.6
Sweden	1	117	0.85%	8.03
Greece	1	103	0.97%	7.21
Trinidad & Tobago	1	91	1.10%	4.99
