Date	Clicks	Impressions	CTR	Position
2026-02-03	36	9513	0.38%	4.7
2026-02-04	61	10004	0.61%	4.1
2026-02-05	44	9768	0.45%	4.7
2026-02-06	26	8281	0.31%	5.3
2026-02-07	19	5687	0.33%	4.5
2026-02-08	36	6822	0.53%	5.4
2026-02-09	59	9764	0.60%	4.8
2026-02-10	43	10747	0.40%	4.6
2026-02-11	49	10463	0.47%	5.2
2026-02-12	52	10767	0.48%	4.9
2026-02-13	35	9065	0.39%	4
2026-02-14	23	5940	0.39%	5
2026-02-15	23	5647	0.41%	5.2
2026-02-16	52	7749	0.67%	5.2
2026-02-17	53	6822	0.78%	5.7
2026-02-18	36	8031	0.45%	5.8
2026-02-19	55	7954	0.69%	5.9
2026-02-20	51	7402	0.69%	6.2
2026-02-21	32	5257	0.61%	6.4
2026-02-22	32	6196	0.52%	6.5
2026-02-23	39	8593	0.45%	6.2
2026-02-24	51	8708	0.59%	6.7
2026-02-25	37	7793	0.47%	6.5
2026-02-26	39	8807	0.44%	6.3
2026-02-27	31	9464	0.33%	6.1
2026-02-28	33	6967	0.47%	5.6
2026-03-01	52	8466	0.61%	4.9
2026-03-02	39	8418	0.46%	5.3
2026-03-03	41	8992	0.46%	4.8
2026-03-04	49	7110	0.69%	4.2
2026-03-05	38	4223	0.90%	5.6
2026-03-06	23	4633	0.50%	5.4
2026-03-07	30	5063	0.59%	4.5
2026-03-08	24	6567	0.37%	3.6
2026-03-09	46	9324	0.49%	3.1
2026-03-10	40	9251	0.43%	3.4
2026-03-11	35	6201	0.56%	4.7
2026-03-12	44	6468	0.68%	4.8
2026-03-13	34	6309	0.54%	3.8
2026-03-14	29	2951	0.98%	5.8
2026-03-15	36	3314	1.09%	6
2026-03-16	41	4394	0.93%	5.8
2026-03-17	36	3983	0.90%	5.4
2026-03-18	21	2809	0.75%	5.8
2026-03-19	17	2641	0.64%	6
2026-03-20	15	2666	0.56%	5.4
2026-03-21	23	2161	1.06%	6.2
2026-03-22	20	2951	0.68%	6.3
2026-03-23	34	3126	1.09%	6.4
2026-03-24	25	2665	0.94%	5.7
2026-03-25	22	2424	0.91%	8.8
2026-03-26	22	2531	0.87%	6.6
2026-03-27	23	2752	0.84%	5.5
2026-03-28	24	2475	0.97%	5.6
2026-03-29	26	2835	0.92%	5.8
2026-03-30	35	3203	1.09%	6.3
2026-03-31	42	3285	1.28%	5.4
2026-04-01	27	3147	0.86%	4.6
2026-04-02	20	2201	0.91%	6.1
2026-04-03	25	1950	1.28%	5.5
2026-04-04	14	1415	0.99%	7
2026-04-05	9	1593	0.56%	7.4
2026-04-06	37	2076	1.78%	7.2
2026-04-07	25	1958	1.28%	6.8
2026-04-08	25	2027	1.23%	7.4
2026-04-09	16	2023	0.79%	7.8
2026-04-10	38	1622	2.34%	7.9
2026-04-11	14	1060	1.32%	8.9
2026-04-12	10	1189	0.84%	11.3
2026-04-13	10	1281	0.78%	10.9
2026-04-14	9	1102	0.82%	9.8
