Top queries	Clicks	Impressions	CTR	Position
rainbow preschool	65	1352	4.81%	5.48
rainbow preschool thane	48	472	10.17%	4.44
national symbols of india	23	31696	0.07%	1.6
pre kg age	19	2715	0.70%	2.69
thought of the day for kids	18	2314	0.78%	2.45
rainbow pre school thane	15	102	14.71%	1.1
rainbow pre school	14	323	4.33%	5.38
best preschool in thane	13	278	4.68%	13.64
national symbol of india	12	5915	0.20%	1.54
national symbols of india for kids	12	3782	0.32%	2.75
summer camp near me	11	314	3.50%	6.9
rainbow preschool hariniwas	10	101	9.90%	1.23
summer camp for kids near me	9	355	2.54%	6.66
rainbow international pre school thane	9	63	14.29%	1.52
preschool near me	8	1372	0.58%	21.08
rainbow international school thane	8	1291	0.62%	7.52
senior kg means	8	926	0.86%	3.05
playgroup age	8	844	0.95%	3.55
thought for the day for kids	8	821	0.97%	2.39
summer camp thane	8	220	3.64%	6.64
rainbow preschool kalwa	8	122	6.56%	2.99
rainbow preschool dhokali	7	110	6.36%	1.09
rainbow preschool thane fees	7	65	10.77%	2.06
prekg full form	6	1278	0.47%	1.32
holi activities for kids	6	268	2.24%	7.13
summer camp in thane for kids	6	63	9.52%	3.98
holi activity for kids	5	1705	0.29%	8.73
brain gym activities for kids	5	818	0.61%	8.94
rainbow international school	5	780	0.64%	5.75
preschool in thane	5	353	1.42%	11.07
rainbow international school kalwa	5	82	6.10%	1.09
rainbow preschool international	5	31	16.13%	1.29
national symbols	4	11867	0.03%	1.52
play group age	4	1613	0.25%	2.64
junior kg means	4	1066	0.38%	2.25
rainbow group of companies	4	272	1.47%	2.69
sports day games list for primary school	4	208	1.92%	3.04
rainbow pre school international	4	132	3.03%	8.26
rainbow nursery school	4	97	4.12%	6.02
rainbow playgroup	4	39	10.26%	3.62
pre kg full form	3	3111	0.10%	1.35
gardening activities for kids	3	919	0.33%	2.96
rainbow school	3	538	0.56%	7.79
jr kg full form	3	431	0.70%	3.36
jr kg means	3	309	0.97%	1.86
best preschool near me	3	252	1.19%	21.2
rainbow group of companies thane	3	249	1.20%	1.28
rainbow international	3	199	1.51%	4.69
rainbow play school near me	3	190	1.58%	7.86
sr kg means	3	120	2.50%	2.46
thought of the day for ukg students	3	105	2.86%	1.5
rainbow school kalwa	3	91	3.30%	1.02
list of races for sports day for kindergarten	3	90	3.33%	2.63
playgroups near me	3	88	3.41%	5.25
playgroup in thane	3	84	3.57%	9.37
rainbow preschool kasarvadavali	3	71	4.23%	1.06
summer camps near me	3	54	5.56%	7.7
sr kg full form in school	3	51	5.88%	1.82
"rainbow preschool - aggarwal arcade centre | best preschool in khewra 
circle, manpada, thane"	3	49	6.12%	1.06
summer camp for 3 year olds	3	25	12%	4.64
international preschool in india	3	5	60%	12
jr kg	2	773	0.26%	3.92
holi activity	2	677	0.30%	7.35
preschool admission	2	564	0.35%	40.65
rainbow play school	2	399	0.50%	8.16
republic day essay in english 150 words	2	286	0.70%	8.27
play school near me	2	267	0.75%	8.58
nursery age in india	2	251	0.80%	3.21
playgroup	2	238	0.84%	3.87
summer camp for kids	2	238	0.84%	6.23
pre kg age limit	2	227	0.88%	2.31
national symbols for kids	2	209	0.96%	6.41
age for pre kg	2	197	1.02%	2.04
kids thought of the day	2	183	1.09%	6.33
holi celebration in preschool	2	182	1.10%	7.8
thought of the day for nursery class	2	174	1.15%	7.45
jr.kg full form	2	156	1.28%	2.89
rainbow nursery	2	141	1.42%	8.48
play group near me	2	123	1.63%	6.46
preschool in kalwa	2	119	1.68%	5.55
thought of the day in english for kids	2	113	1.77%	3.61
jr kg age limit	2	98	2.04%	3.04
thought of the day for grade 1	2	95	2.11%	8.24
thought of the day for pre primary kids	2	84	2.38%	5.79
body parts preschool	2	83	2.41%	9.75
thought of the day for nursery kids	2	82	2.44%	7.88
thoughts of the day for kids	2	74	2.70%	2.7
rainbow pre-primary school	2	73	2.74%	7.55
thought for the day for ukg students	2	72	2.78%	1.78
preschool sports day activities for kindergarten	2	72	2.78%	5.03
thought of the day preschool	2	68	2.94%	6
advantages of teaching aids	2	63	3.17%	4.56
rainbow international preschool	2	61	3.28%	3.95
playgroups near me for 2 year olds	2	58	3.45%	7.28
difference between daycare and preschool	2	56	3.57%	8.52
rainbow pre primary school	2	54	3.70%	6.46
pre kg school age	2	52	3.85%	2.25
thought for kindergarten students	2	49	4.08%	2
rainbow preschool - hariniwas centre | best preschool in hariniwas, thane	2	43	4.65%	1
age limit for play group	2	39	5.13%	1.97
jr kg school near me	2	39	5.13%	7.33
thought of the day for nursery students	2	38	5.26%	1.42
thought of the day for kg class	2	34	5.88%	7
kids summer camp near me	2	31	6.45%	9.35
summer classes for kids	2	29	6.90%	4.55
rainbow preschool fees	2	26	7.69%	4.42
rainbow international school branches	2	23	8.70%	2.83
brain gym preschool	2	22	9.09%	7.05
summer camp for kids thane	2	14	14.29%	3.43
summer camp for 3 years old near me	2	12	16.67%	4.33
rainbow summer camp	2	12	16.67%	5.83
preschool website	2	11	18.18%	19.91
preschool admission process	2	7	28.57%	2.57
pre school website	2	4	50%	5.5
national symbol	1	7358	0.01%	1.4
our national symbols	1	2091	0.05%	1.86
pre kg	1	1156	0.09%	5.34
holi activities for students	1	1050	0.10%	1.8
national symbols of india with names	1	938	0.11%	1.46
nursery age	1	801	0.12%	2.19
rainbow school near me	1	675	0.15%	8.41
prekg	1	648	0.15%	2.89
holi activity for kids in school	1	611	0.16%	2.33
sr kg full form	1	588	0.17%	3.17
playgroup near me	1	561	0.18%	7.29
senior kg	1	533	0.19%	3.84
nursery admission age	1	468	0.21%	6.4
play group age limit	1	340	0.29%	3.87
sports day games for kids	1	335	0.30%	3.04
rainbow school thane	1	320	0.31%	7.32
junior kg age	1	297	0.34%	2.68
holi activities	1	296	0.34%	5.13
pre school near me	1	265	0.38%	7.58
holi speech for kids	1	254	0.39%	6.5
holi activity ideas	1	244	0.41%	3.13
thought of the day for kids in school	1	244	0.41%	7.43
thought of the day for preschool	1	241	0.41%	6.45
easy thought of the day for kids	1	238	0.42%	8.46
preschool thane	1	208	0.48%	5.89
thought of the day for class 1	1	201	0.50%	3.16
nursery junior kg senior kg	1	193	0.52%	4.66
playgroup school near me	1	188	0.53%	7.88
nursery age for kids	1	181	0.55%	2.12
thought of the day for kindergarten	1	177	0.56%	7.79
junior kg senior kg	1	172	0.58%	2.23
rainbow kids preschool	1	171	0.58%	7.21
questions to ask when choosing a preschool	1	171	0.58%	49.38
races for sports day	1	163	0.61%	3.48
national things of india for kids	1	154	0.65%	3.14
rainbow kids	1	152	0.66%	8.23
sports day activities	1	148	0.68%	6.28
correct age for pre kg	1	141	0.71%	1.37
how to celebrate holi in school	1	141	0.71%	2.87
thought of the day for class 2	1	141	0.71%	4.55
pre school thane	1	135	0.74%	6.64
holi activities for early years	1	129	0.78%	8.1
sports day games for kindergarten	1	128	0.78%	4.67
preschool	1	125	0.80%	9.73
summer camp in thane	1	119	0.84%	5.43
holi games for kids	1	118	0.85%	5.06
simple thought for the day for kids	1	114	0.88%	4.6
sports day activities for kindergarten	1	112	0.89%	4.12
rainbow pre school near me	1	112	0.89%	5.77
best nursery school in thane	1	112	0.89%	12.77
games for sports day	1	111	0.90%	5.37
holi activity in school	1	110	0.91%	2.41
senior kg means which class	1	107	0.93%	4.15
right age for playgroup in india	1	103	0.97%	2.49
thought of the day kids	1	103	0.97%	6.69
nursery school near me	1	101	0.99%	8.84
thought of the day for primary students	1	94	1.06%	2.7
thought for the day for preschool	1	92	1.09%	5.71
sports day games	1	90	1.11%	5.69
easy thoughts for kids	1	89	1.12%	4.31
summer camp	1	88	1.14%	4.94
teaching aids for preschool	1	88	1.14%	5.72
best preschool in thane west	1	88	1.14%	10.3
thoughts for kids	1	88	1.14%	11.53
holi activity for students	1	87	1.15%	2.74
thought of the day for play school	1	84	1.19%	2.01
nursery jr kg sr kg	1	84	1.19%	4.43
nursery school thane	1	84	1.19%	6.2
nursery kids age	1	81	1.23%	1.83
national things for kids	1	81	1.23%	3.91
sports day preschool	1	81	1.23%	5.26
ರಾಷ್ಟ್ರೀಯ ಚಿಹ್ನೆಗಳು ಮತ್ತು ರಾಷ್ಟ್ರೀಯ ದಿನಾಚರಣೆ	1	78	1.28%	5.69
kindergarten sports day ideas	1	77	1.30%	3.51
preschools in thane	1	76	1.32%	7.24
sports day for kids	1	75	1.33%	4.67
jr. kg full form	1	74	1.35%	3.7
thought for the day for kindergarten	1	72	1.39%	6.58
holi speech	1	71	1.41%	2.9
thought for the day for children	1	70	1.43%	2.37
simple thoughts for kids	1	69	1.45%	7.42
what is the right age for playgroup	1	63	1.59%	1.29
play group age in india	1	63	1.59%	2.57
national symbols for nursery class	1	63	1.59%	4.86
rainbow school mumbai	1	61	1.64%	6.36
thought of the day for kg students	1	60	1.67%	8.33
play schools in thane	1	60	1.67%	13.78
thought of the day for nursery	1	59	1.69%	6.51
nursery sports day ideas	1	57	1.75%	8.3
kids sports day	1	53	1.89%	5.53
pre primary school near me	1	52	1.92%	5.5
colours and shapes	1	52	1.92%	9.12
thought of the day for kindergarten students	1	51	1.96%	8
thought of the day nursery class	1	50	2%	2.54
age for admission in nursery	1	48	2.08%	6.04
thought of the day for pre primary school	1	48	2.08%	6.46
what is our national symbol of india	1	47	2.13%	1.26
thought of the day kindergarten	1	47	2.13%	6.89
preschool body parts	1	47	2.13%	11.51
age for junior kg	1	45	2.22%	1.31
nursery school in thane west	1	45	2.22%	2
holi information for kids	1	45	2.22%	3.82
thought of the day for grade 2	1	44	2.27%	7.98
thought of the day for ukg class	1	43	2.33%	1.72
pre kg full form age limit	1	42	2.38%	1.57
what is the age for playgroup	1	42	2.38%	1.83
parts of the body preschool	1	42	2.38%	9.26
thought of the day for ukg kids	1	41	2.44%	1.29
nursery age for kids in india	1	40	2.50%	1.02
junior kg admission	1	39	2.56%	42.38
rainbow day care centre	1	37	2.70%	3.73
kids races for sports day	1	37	2.70%	6.3
sports activities for kindergarten	1	37	2.70%	8.03
what is the age for pre kg	1	36	2.78%	1.31
rainbow international school khewra circle	1	35	2.86%	1.11
thought for ukg class	1	35	2.86%	7.54
summer classes for kids near me	1	34	2.94%	5.03
play school in mumbai	1	34	2.94%	37.94
thought of the day ukg class	1	33	3.03%	1.3
pre k age	1	33	3.03%	2.48
daycare and preschool difference	1	32	3.12%	3.44
republic day essay in english 300 words	1	32	3.12%	8.31
national thing of india	1	31	3.23%	1.35
thoughts for kindergarten	1	30	3.33%	7.33
holi celebration in kindergarten	1	28	3.57%	5.96
rainbow play group	1	28	3.57%	6.39
kids age for nursery	1	27	3.70%	1.41
thought of the day for toddlers	1	27	3.70%	6.44
holi celebration ideas for preschool	1	27	3.70%	9.11
what is junior kindergarten	1	26	3.85%	2.19
preschool thought of the day	1	26	3.85%	5.62
thought for kindergarten	1	26	3.85%	7.85
rainbow international school, thane fees structure	1	26	3.85%	10.04
thought of the day grade 1	1	25	4%	5.16
sports day theme ideas for kindergarten	1	25	4%	5.92
rainbow international school thane fees	1	25	4%	10.12
thought of the day for 2nd class	1	24	4.17%	3.75
importance of national symbols of india	1	24	4.17%	9
rainbow international school anand nagar thane	1	23	4.35%	1.52
preschool fun races for kindergarten sports day	1	23	4.35%	1.96
sports day ideas for kindergarten	1	23	4.35%	5.17
thought of the day for class 1st	1	23	4.35%	7.26
teaching aids for nursery kids	1	23	4.35%	9
international pre school	1	23	4.35%	13.74
sports activities for kindergarten in school	1	22	4.55%	3.77
thought of the day for kids with meaning	1	22	4.55%	11.82
thought of the day in english for nursery class	1	21	4.76%	2.14
games for nursery kids for sports day	1	21	4.76%	5.48
thought for 1st class students	1	21	4.76%	6.52
child age for nursery admission	1	20	5%	4.1
games for pre primary students for sports day	1	20	5%	4.15
preschool in mumbai	1	20	5%	42.25
preschool fees	1	19	5.26%	6.42
rainbow daycare near me	1	19	5.26%	6.53
sports day events for kids	1	19	5.26%	6.84
national symbols of india for nursery kids	1	18	5.56%	1.17
thought for the day for primary students	1	18	5.56%	1.94
gardening activities for kids in school	1	18	5.56%	3.22
preschool games indoor	1	18	5.56%	24.17
rainbow school anand nagar	1	17	5.88%	1
thought for the kids	1	17	5.88%	2
games for kindergarten sports day	1	17	5.88%	2.12
thought of the day for kindergarten kids	1	17	5.88%	5.29
senior kg meaning in hindi	1	17	5.88%	6.88
preschool websites	1	17	5.88%	25.12
summer camp 2026 near me	1	16	6.25%	2.31
rainbow nursery school fees	1	16	6.25%	2.69
what age can a child start playgroup	1	16	6.25%	3.12
games for sports day for kindergarten	1	16	6.25%	3.25
games for kids in school for sports day	1	16	6.25%	7.56
